archivo, linea
all_creas_text.txt,Las medias de la evaluación de los atributos de las muestras se encuentran en Tabla 1.1 y
all_creas_text.txt,Tabla 1.1. Resultados promedios de los atributos analizados en el test de aceptabilidad
all_creas_text.txt,Los resultados promedios expuestos en la Tabla 1.1; demuestran que todas las muestras
all_creas_text.txt,valores de F calculado se muestran en la Tabla 1.2
all_creas_text.txt,Tabla 1.2. Valores de F calculado entre las muestras
all_creas_text.txt,Las medias de la evaluación de los atributos de las muestras se encuentran en Tabla 1.3 y
all_creas_text.txt,Tabla 1.3. Resultados promedios de los atributos analizados en el test de aceptabilidad
all_creas_text.txt,Los resultados promedios expuestos en la Tabla 1.3; demuestran que la muestra 1.1 no es
all_creas_text.txt,valores de F calculado se muestran en la Tabla 1.4
all_creas_text.txt,Tabla 1.4. Valores de F calculado entre las muestras
all_creas_text.txt,En la Tabla 2.1 se presentan los resultados del análisis proximal; azúcares totales y sodio
all_creas_text.txt,Tabla 2.1. Composición proximal; azucares totales y sodio del prototipo seleccionado; en base
all_creas_text.txt,Tabla 2.2. Límites de contenidos de energía; sodio; azúcares totales y grasas saturadas en
all_creas_text.txt,Tabla 2.3. Pruebas de horneado para masa de pre-pizza de coliflor (prototipo C12).
all_creas_text.txt,Tabla 2.4. Pruebas de horneado para masa de pre-pizza de coliflor (prototipo C12).
all_creas_text.txt,En base a los datos analíticos y pruebas de rendimiento entregados; en Tabla 2.5 y Tabla
all_creas_text.txt,Tabla 2.5. Información nutricional pizza de coliflor; en base húmeda por 100 g de producto.
all_creas_text.txt,Tabla 2.6. Información nutricional pizza de garbanzo; en base húmeda por 100 g de producto.
all_creas_text.txt,Tabla 2.7. Información nutricional pizza de coliflor; regulación EE.UU
all_creas_text.txt,Tabla 2.8. Información nutricional pizza de garbanzo; regulación EE.UU.
all_creas_text.txt,A continuación; se muestra la lista de ingredientes (Tabla 1.1) y etiquetado nutricional (Tabla
all_creas_text.txt,Tabla 1.1. Ingredientes utilizados en productos comerciales
all_creas_text.txt,Tabla 1.2. Información nutricional de productos comerciales
all_creas_text.txt,A continuación; en la Tabla 1.3 y Figura 1.3 se muestran los resultados de los ensayos de
all_creas_text.txt,Tabla 1.3. Resultados perfil de textura de productos comerciales
all_creas_text.txt,A continuación; en la Tabla 2.1 se presentan algunos equipos necesarios para el desarrollo
all_creas_text.txt,Tabla 2.1. Equipos para el desarrollo de masas de pre-pizzas
all_creas_text.txt,comerciales (Tabla 1.1); se presentan los ingredientes postulados para las formulaciones y
all_creas_text.txt,Tabla 2.2. Ingredientes para prototipos
all_creas_text.txt,de coliflor se muestran en la Tabla 3.1; mientras que las formulaciones para la obtención de
all_creas_text.txt,Tabla 3.2.
all_creas_text.txt,Tabla 3.1. Formulaciones para masa de pre-pizza de coliflor
all_creas_text.txt,Tabla 3.2. Formulaciones para masa de pre-pizza de garbanzo
all_creas_text.txt,Tabla 2.1: Formulación base de pizza de coliflor.
all_creas_text.txt,Tabla 2.2: Sustitutos de huevo comerciales utilizados.
all_creas_text.txt,Tabla 3.1: Pruebas de concepto realizadas.
all_creas_text.txt,Tabla 3.2: Formulación (%) de producto seleccionado.
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,A continuación; se muestra la lista de ingredientes (Tabla 1.1) y etiquetado nutricional (Tabla
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 1.1. Ingredientes utilizados en productos comerciales
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 1.2. Información nutricional de productos comerciales
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,A continuación; en la Tabla 1.3 y Figura 1.3 se muestran los resultados de los ensayos de
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 1.3. Resultados perfil de textura de productos comerciales
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,A continuación; en la Tabla 2.1 se presentan algunos equipos necesarios para el desarrollo
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 2.1. Equipos para el desarrollo de masas de pre-pizzas
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,comerciales (Tabla 1.1); se presentan los ingredientes postulados para las formulaciones y
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 2.2. Ingredientes para prototipos
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,de coliflor se muestran en la Tabla 3.1; mientras que las formulaciones para la obtención de
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 3.2.
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 3.1. Formulaciones para masa de pre-pizza de coliflor
Anexo 2 - Informe CREAS Hito Crítico 20CV-152107 Alimentos Greens .txt,Tabla 3.2. Formulaciones para masa de pre-pizza de garbanzo
INFORME TÉCNICO EXTENSIÓN CREAS 020-2022 - Andreina Saade.txt,Tabla 2.1: Formulación base de pizza de coliflor.
INFORME TÉCNICO EXTENSIÓN CREAS 020-2022 - Andreina Saade.txt,Tabla 2.2: Sustitutos de huevo comerciales utilizados.
INFORME TÉCNICO EXTENSIÓN CREAS 020-2022 - Andreina Saade.txt,Tabla 3.1: Pruebas de concepto realizadas.
INFORME TÉCNICO EXTENSIÓN CREAS 020-2022 - Andreina Saade.txt,Tabla 3.2: Formulación (%) de producto seleccionado.
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Las medias de la evaluación de los atributos de las muestras se encuentran en Tabla 1.1 y
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 1.1. Resultados promedios de los atributos analizados en el test de aceptabilidad
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Los resultados promedios expuestos en la Tabla 1.1; demuestran que todas las muestras
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,valores de F calculado se muestran en la Tabla 1.2
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 1.2. Valores de F calculado entre las muestras
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Las medias de la evaluación de los atributos de las muestras se encuentran en Tabla 1.3 y
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 1.3. Resultados promedios de los atributos analizados en el test de aceptabilidad
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Los resultados promedios expuestos en la Tabla 1.3; demuestran que la muestra 1.1 no es
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,valores de F calculado se muestran en la Tabla 1.4
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 1.4. Valores de F calculado entre las muestras
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,En la Tabla 2.1 se presentan los resultados del análisis proximal; azúcares totales y sodio
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.1. Composición proximal; azucares totales y sodio del prototipo seleccionado; en base
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.2. Límites de contenidos de energía; sodio; azúcares totales y grasas saturadas en
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.3. Pruebas de horneado para masa de pre-pizza de coliflor (prototipo C12).
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.4. Pruebas de horneado para masa de pre-pizza de coliflor (prototipo C12).
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,En base a los datos analíticos y pruebas de rendimiento entregados; en Tabla 2.5 y Tabla
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.5. Información nutricional pizza de coliflor; en base húmeda por 100 g de producto.
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.6. Información nutricional pizza de garbanzo; en base húmeda por 100 g de producto.
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.7. Información nutricional pizza de coliflor; regulación EE.UU
20CV-152107 - INFORME TÉCNICO CREAS - GREENS SPA.txt,Tabla 2.8. Información nutricional pizza de garbanzo; regulación EE.UU.
